"10317.000047500.48082",8262,30,8676,5260,1114,41308,232,12,220,370,10672,30,2,84,5306,6,352,4,12,26,2210,300,6,0,0,4,0,8,4,102,6,0,10,0,0,0,216,2,0,2
"10317.000028346.48014",1658,320,9280,5148,4202,7290,1096,2,156,34,10,814,130,12,2,1498,16,2,146,162,890,198,0,0,24,32,42,0,6,42,0,0,138,12,2,10,2464,4,0,0
"10317.000033376.69026",2084,46,48396,47574,6606,3510,516,74,456,0,174,78,30,4,18,16,224,54,804,42,276,122,0,10,52,138,38,6,556,2626,6,6,2896,22,0,0,0,0,20,0
"10317.000069679.48058",21962,6,4447,4337,1254,50,1284,9,810,0,90,1,11,2,3,1,42,1,27,0,10,3,3,6,8,20,4,0,34,342,0,60,149,5,1,1,1,0,5,1
"10317.000072061.50473",603,17,1176,887,89,31834,17,23,214,0,141,2,1,2,4432,1,5,16,20,3,129,51,0,8,3,1,26,301,1,36,0,0,3,3,0,3,25,6,3,1
"10317.000067470.48085",7682,15,6163,12781,512,146,120,2,1031,0,759,0,4,8,0,0,14,1,41,4,121,1,52,0,0,0,75,0,1,385,2,1,5,0,0,0,1,0,0,0
"10317.000034254.48007",3985,1,4704,3925,561,1130,1090,87,227,0,290,14,118,2,0,30,3,0,16,14,802,0,0,0,4,0,22,0,0,194,0,0,119,4,0,0,0,0,0,0
"10317.000097474.54640",859,76,4372,1128,1830,7382,199,586,127,0,418,95,8,6,2,0,4,84,75,52,939,180,1,2,0,1,133,3,9,263,0,0,138,1,0,0,112,0,1,2
"10317.000107483.76893",622,7,6970,7322,3159,51,39,1,105,0,31,172,0,11,1,5,7,0,58,4,77,76,23,2,2,1,14,2,12,77,0,0,76,2,1,1,219,0,2,0
"10317.000029433.48007",1891,158,1636,1109,915,87,52,14,54,13,91,27,3,36,0,0,0,108,19,8,182,8,27,0,0,2,27,0,0,142,0,0,63,0,0,0,6,0,0,0
"10317.000069599.48085",152,11,5730,7634,298,1,27,1648,61,3,23,70,14,7,0,78,11,0,67,31,184,58,31,0,2,0,35,0,8,636,0,0,22,0,0,0,0,0,0,0
"10317.000107480.71225",135,3581,137,225,383,657,11,35,20,0,2,0,0,0,13139,28,2,77,23,6,1,0,0,0,0,1,5,0,11,6,0,0,3,0,0,0,22,0,0,7
"10317.000097662.56081",1027,348,2382,975,1047,6939,1785,50,127,0,145,16,2,1,5,0,17,97,104,17,140,197,0,1,1,80,205,1,70,187,1,1,551,7,0,0,222,55,1,5
"10317.000031813.48014",2324,52,2825,1905,1579,11002,101,67,34,12,340,1,1,123,113,1,0,0,50,18,781,23,9,0,0,0,95,1,0,15,2,5,77,0,0,0,185,0,0,0
"10317.000023894.48015",12328,101,4265,12474,841,13,238,3,836,19,545,168,68,544,1,1,27,0,10,0,157,81,1,3,6,108,0,1,0,450,0,10,523,16,0,0,2,0,1,0
"10317.000050198.48064",344,10,106,29,7,12778,58,1,18,0,170,320,5,11,3608,1,17,0,7,0,61,1,0,0,0,0,18,5,133,9,0,0,1,2,0,1839,0,0,1,0
"10317.000063592.55074",2164,5,1726,505,54,16387,16,0,26,8,0,55,0,5,1,0,0,851,6,0,17,0,37,1,0,1,10,0,0,14,0,0,0,1,0,1,0,0,0,0
"10317.000074715.50458",4761,13,1078,1958,166,59053,147,10,14,43,137,50,1,68,932,3,87,4,14,1,450,54,6,0,16,51,62,1,8,29,0,0,22,0,3,0,2,1,0,1
"10317.000078801.48090",4320,20,15513,14333,1346,39,264,18,1031,2,922,4488,71,0,6,17,68,0,442,27,3553,0,14,8,26,0,2,1,348,432,0,0,314,8,1,0,0,0,4,0
"10317.000038433.48006",344,249,793,1434,135,6,200,0,46,0,376,17,4831,8,2,154,230,0,72,0,10,0,0,52,3508,252,0,0,1121,54,86,0,9,737,12,2,0,0,25,0
"10317.000092719.53384",2130,858,8603,4400,977,21384,1268,929,229,1,396,125,14,29,21,2,55,235,20,148,56,90,0,1,0,16,144,5,5,346,1,0,162,4,0,2,554,108,0,85
"10317.000047377.48008",797,222,10078,4231,1078,1673,1132,99,139,0,26,38,2,4,3,43,7,8,126,58,41,33,0,0,12,1,39,2,29,135,0,1,72,2,0,2,417,0,2,0
"10317.000108680.71225",652,11479,6027,4930,1003,60,542,341,241,1,1661,10,6835,134,6,0,64,25,269,21,154,43,50,0,196,3,70,1,11,535,16,0,35,607,0,1,183,1,0,0
"10317.000101392.56194",7769,39,2116,3239,142,16,217,176,57,0,222,25,26,179,1,1,1,2,12,0,192,19,0,0,16,12,15,0,0,104,0,0,2,8,1,1,0,0,0,0
